protocolo;tipo;dataInicio;dataPrevista;dataFim;regional;total_afetados;backbone;motivo;forca_maior;pontosAcesso
1451693;manutencao;"2024-10-30 00:00:00";;;UVA;33;;Melhoria de rede;NÃO;"CE-UVA-1237, CE-UVA-099, CE-UVA-075, CE-UVA-1547, CE-UVA-1476, CE-UVA-243, CE-UVA-1475"
1640995;manutencao;"2024-10-30 00:00:00";;"2024-10-30 02:00:00";CDR;35;;Melhoria de rede;NÃO;"CE-CDR-425, CE-CDR-493, CE-CDR-494"
1571101;manutencao;"2024-10-30 00:00:00";;"2024-10-30 01:00:00";CNI;10;;Melhoria de rede;NÃO;CE-CNI-451
1630561;manutencao;"2024-10-30 01:00:00";;"2024-10-30 02:00:00";UVA;6;;Manutenção Prevetiva;NÃO;CE-UVA-832
1629412;manutencao;"2024-10-30 01:00:00";;"2024-10-30 02:00:00";CDR;22;;Melhoria de rede;NÃO;"CE-CNI-555, CE-CNI-556, CE-CNI-560, CE-CNI-561, CE-CNI-559"
1641408;evento;"2024-10-30 08:00:00";;"2024-10-30 10:00:00";CDR;0;;Equipamento queimado;NÃO;"POP-COPERCAMPOS- CAÇADOR"
1630300;manutencao;"2024-10-30 13:30:00";;"2024-10-30 14:30:00";CNI;8;;Melhoria de rede;NÃO;"CE-FESC-019, CE-FESC-033, CE-FESC-005, CE-FESC-014"
1641983;evento;"2024-10-30 13:56:00";;"2024-10-30 15:00:00";IRI;286;;Responsabilidade terceiros;SIM;
1642739;manutencao;"2024-10-30 14:23:00";;"2024-10-31 10:23:00";VDA;4;;Responsabilidade terceiros;NÃO;CE-CNV-173
1642058;evento;"2024-10-30 15:30:00";;"2024-10-30 17:03:00";CDR;3;;Falha de energia;NÃO;"EDIFICIO ILONE"
1642306;evento;"2024-10-30 17:13:00";;"2024-10-30 20:13:00";VDA;155;;Responsabilidade terceiros;NÃO;"CE-VDA-368, CE-VDA-1118, CE-VDA-371, CE-VDA-1069, CE-VDA-1433, CE-VDA-1319, CE-VDA-541, CE-VDA-491, CE-VDA-373, CE-VDA-1073, CE-VDA-1071, CE-VDA-1074, CE-VDA-1070"
1642345;evento;"2024-10-30 17:30:00";;"2024-10-30 20:30:00";UVA;0;;Responsabilidade terceiros;NÃO;"Edíficio ICC (UVA-S420)"
1642803;evento;"2024-10-31 06:58:00";;"2024-10-31 13:58:00";RSL;14;;Falha de energia;NÃO;GegNET-Nova-Italia
1642874;evento;"2024-10-31 10:00:00";;"2024-10-31 11:00:00";VDA;2;;Responsabilidade terceiros;NÃO;"EDIFICIO HZ"
1643177;evento;"2024-10-31 12:00:00";;"2024-10-31 14:00:00";IRI;287;;"Carga alta";SIM;
1643225;evento;"2024-10-31 13:38:00";;"2024-10-31 17:38:00";UVA;2;;Rompimento Parcial;NÃO;CE-UVA-1141
1642240;manutencao;"2024-10-31 14:04:00";;"2024-10-31 17:38:00";CDR;0;;"Falha equipamento rádio";NÃO;"POP-COPERCAMPOS- CAÇADOR"
1600814;manutencao;"2024-10-31 14:34:00";;"2024-10-31 16:36:00";VDA;4;;Manutenção Prevetiva;NÃO;CE-SVK-023
1643351;evento;"2024-10-31 14:50:00";;"2024-10-31 16:36:00";CNI;22;;Rompimento Parcial;NÃO;"CE-CNI-560, CE-CNI-561, CE-CNI-559, CE-CNI-555, CE-CNI-556"
1643584;evento;"2024-10-31 18:01:00";;"2024-10-31 20:00:00";CDR;0;;"Atenuação de fibra";SIM;"POP TANGARA"
1639965;manutencao;"2024-11-01 00:00:00";;"2024-11-01 03:00:00";RSL;20;;"Manutencao Prevetiva";SIM;"CE-RSL-653, CE-RSL-631, CE-RSL-861, CE-AUK-019, CE-RSL-343, CE-AUK-079, CE-AUK-012, CE-AUK-009, DESATIVADO - RSL-S734 Bom-Fim-2 (CUBO)"
1616316;manutencao;"2024-11-01 02:10:00";;"2024-11-01 04:00:00";RSL;40;;"Melhoria de rede";NÃO;"CE-LOS-324, CE-LOS-152, CE-LOS-241, CE-LOS-307, CE-LOS-315, CE-LOS-336, CE-LOS-144, CE-LOS-153, CE-LOS-341, CE-LOS-301, CE-LOS-302"
